ID,label,type,year
http://www.wikidata.org/entity/Q470779,Kinji Fukasaku,DIRECTOR,1930
http://www.wikidata.org/entity/Q470601,Michael Radford,DIRECTOR,1946
http://www.wikidata.org/entity/Q13382715,Milton Katselas,DIRECTOR,1933
http://www.wikidata.org/entity/Q314301,Peter Yates,DIRECTOR,1929
http://www.wikidata.org/entity/Q295093,Claude Lelouch,DIRECTOR,1937
http://www.wikidata.org/entity/Q555460,Lee Daniels,DIRECTOR,1959
http://www.wikidata.org/entity/Q237696,Phyllida Lloyd,DIRECTOR,1957
http://www.wikidata.org/entity/Q734944,Clifford Odets,DIRECTOR,1906
http://www.wikidata.org/entity/Q50713,Jean Renoir,DIRECTOR,1894
http://www.wikidata.org/entity/Q330819,Harry d’Abbadie d’Arrast,DIRECTOR,1897
http://www.wikidata.org/entity/Q285928,Lewis Milestone,DIRECTOR,1895
http://www.wikidata.org/entity/Q3870718,Nate Watt,DIRECTOR,1889
http://www.wikidata.org/entity/Q313566,Alexander Payne,DIRECTOR,1961
http://www.wikidata.org/entity/Q353019,Jerome Robbins,DIRECTOR,1918
http://www.wikidata.org/entity/Q332530,Leo McCarey,DIRECTOR,1896
http://www.wikidata.org/entity/Q388557,Dexter Fletcher,DIRECTOR,1966
http://www.wikidata.org/entity/Q710131,Mike Figgis,DIRECTOR,1948
http://www.wikidata.org/entity/Q4250213,Sebastián Lelio,DIRECTOR,1974
http://www.wikidata.org/entity/Q3696452,Craig Gillespie,DIRECTOR,1967
http://www.wikidata.org/entity/Q2271522,Malik Bendjelloul,DIRECTOR,1977
http://www.wikidata.org/entity/Q55392,Louis Malle,DIRECTOR,1932
