Source,Target,weight
http://www.wikidata.org/entity/Q51583,http://www.wikidata.org/entity/Q274282,1
http://www.wikidata.org/entity/Q51583,http://www.wikidata.org/entity/Q16390,1
http://www.wikidata.org/entity/Q72229,http://www.wikidata.org/entity/Q310493,1
http://www.wikidata.org/entity/Q158250,http://www.wikidata.org/entity/Q174843,1
http://www.wikidata.org/entity/Q158250,http://www.wikidata.org/entity/Q726283,2
http://www.wikidata.org/entity/Q51562,http://www.wikidata.org/entity/Q106001,1
http://www.wikidata.org/entity/Q51562,http://www.wikidata.org/entity/Q1804811,1
http://www.wikidata.org/entity/Q611429,http://www.wikidata.org/entity/Q17333733,1
http://www.wikidata.org/entity/Q611429,http://www.wikidata.org/entity/Q2576722,1
http://www.wikidata.org/entity/Q611429,http://www.wikidata.org/entity/Q5116252,1
http://www.wikidata.org/entity/Q611429,http://www.wikidata.org/entity/Q5765520,1
http://www.wikidata.org/entity/Q611429,http://www.wikidata.org/entity/Q6163727,1
http://www.wikidata.org/entity/Q262735,http://www.wikidata.org/entity/Q229545,1
http://www.wikidata.org/entity/Q262735,http://www.wikidata.org/entity/Q314914,1
http://www.wikidata.org/entity/Q262735,http://www.wikidata.org/entity/Q315051,1
http://www.wikidata.org/entity/Q1424757,http://www.wikidata.org/entity/Q28054,1
http://www.wikidata.org/entity/Q56014,http://www.wikidata.org/entity/Q2864563,1
http://www.wikidata.org/entity/Q269731,http://www.wikidata.org/entity/Q443110,1
http://www.wikidata.org/entity/Q547078,http://www.wikidata.org/entity/Q443110,1
http://www.wikidata.org/entity/Q134867,http://www.wikidata.org/entity/Q3837845,1
http://www.wikidata.org/entity/Q103788,http://www.wikidata.org/entity/Q326723,2
http://www.wikidata.org/entity/Q287977,http://www.wikidata.org/entity/Q57584,1
http://www.wikidata.org/entity/Q503258,http://www.wikidata.org/entity/Q630981,1
http://www.wikidata.org/entity/Q503258,http://www.wikidata.org/entity/Q953753,1
http://www.wikidata.org/entity/Q630981,http://www.wikidata.org/entity/Q953753,1
http://www.wikidata.org/entity/Q4465,http://www.wikidata.org/entity/Q152165,3
http://www.wikidata.org/entity/Q4465,http://www.wikidata.org/entity/Q170510,3
http://www.wikidata.org/entity/Q4465,http://www.wikidata.org/entity/Q171363,3
http://www.wikidata.org/entity/Q4465,http://www.wikidata.org/entity/Q180338,3
http://www.wikidata.org/entity/Q4465,http://www.wikidata.org/entity/Q189351,3
http://www.wikidata.org/entity/Q4465,http://www.wikidata.org/entity/Q191104,3
http://www.wikidata.org/entity/Q4465,http://www.wikidata.org/entity/Q206922,4
http://www.wikidata.org/entity/Q4465,http://www.wikidata.org/entity/Q483771,3
http://www.wikidata.org/entity/Q4465,http://www.wikidata.org/entity/Q80966,3
http://www.wikidata.org/entity/Q4465,http://www.wikidata.org/entity/Q42204,3
http://www.wikidata.org/entity/Q4465,http://www.wikidata.org/entity/Q44467,3
http://www.wikidata.org/entity/Q56005,http://www.wikidata.org/entity/Q129817,1
http://www.wikidata.org/entity/Q56005,http://www.wikidata.org/entity/Q1375689,1
http://www.wikidata.org/entity/Q56005,http://www.wikidata.org/entity/Q185140,1
http://www.wikidata.org/entity/Q56005,http://www.wikidata.org/entity/Q737369,1
http://www.wikidata.org/entity/Q53004,http://www.wikidata.org/entity/Q106255,1
http://www.wikidata.org/entity/Q53004,http://www.wikidata.org/entity/Q3848600,1
http://www.wikidata.org/entity/Q53004,http://www.wikidata.org/entity/Q75760,1
http://www.wikidata.org/entity/Q53004,http://www.wikidata.org/entity/Q43252,2
http://www.wikidata.org/entity/Q709973,http://www.wikidata.org/entity/Q106508,1
http://www.wikidata.org/entity/Q709973,http://www.wikidata.org/entity/Q17354467,1
http://www.wikidata.org/entity/Q53044,http://www.wikidata.org/entity/Q308897,1
http://www.wikidata.org/entity/Q505141,http://www.wikidata.org/entity/Q212879,1
http://www.wikidata.org/entity/Q505141,http://www.wikidata.org/entity/Q972568,2
http://www.wikidata.org/entity/Q72717,http://www.wikidata.org/entity/Q153332,1
http://www.wikidata.org/entity/Q72717,http://www.wikidata.org/entity/Q2069183,1
http://www.wikidata.org/entity/Q288337,http://www.wikidata.org/entity/Q3925,1
http://www.wikidata.org/entity/Q78639,http://www.wikidata.org/entity/Q55413,1
http://www.wikidata.org/entity/Q78639,http://www.wikidata.org/entity/Q716319,1
http://www.wikidata.org/entity/Q78639,http://www.wikidata.org/entity/Q94041,1
http://www.wikidata.org/entity/Q55413,http://www.wikidata.org/entity/Q716319,1
http://www.wikidata.org/entity/Q55413,http://www.wikidata.org/entity/Q94041,1
http://www.wikidata.org/entity/Q267441,http://www.wikidata.org/entity/Q983356,1
http://www.wikidata.org/entity/Q267441,http://www.wikidata.org/entity/Q298388,1
http://www.wikidata.org/entity/Q983356,http://www.wikidata.org/entity/Q298388,1
http://www.wikidata.org/entity/Q103788,http://www.wikidata.org/entity/Q51491,1
http://www.wikidata.org/entity/Q103788,http://www.wikidata.org/entity/Q233845,1
http://www.wikidata.org/entity/Q51491,http://www.wikidata.org/entity/Q233845,1
http://www.wikidata.org/entity/Q51491,http://www.wikidata.org/entity/Q103949,1
http://www.wikidata.org/entity/Q51491,http://www.wikidata.org/entity/Q1236412,1
http://www.wikidata.org/entity/Q51491,http://www.wikidata.org/entity/Q1281212,1
http://www.wikidata.org/entity/Q51491,http://www.wikidata.org/entity/Q148732,1
http://www.wikidata.org/entity/Q51491,http://www.wikidata.org/entity/Q2424447,1
http://www.wikidata.org/entity/Q51491,http://www.wikidata.org/entity/Q386105,1
http://www.wikidata.org/entity/Q51491,http://www.wikidata.org/entity/Q443110,1
http://www.wikidata.org/entity/Q51491,http://www.wikidata.org/entity/Q450646,1
http://www.wikidata.org/entity/Q51491,http://www.wikidata.org/entity/Q484881,1
http://www.wikidata.org/entity/Q51491,http://www.wikidata.org/entity/Q555226,1
http://www.wikidata.org/entity/Q51491,http://www.wikidata.org/entity/Q711129,1
http://www.wikidata.org/entity/Q51491,http://www.wikidata.org/entity/Q982177,1
http://www.wikidata.org/entity/Q547078,http://www.wikidata.org/entity/Q51123,1
http://www.wikidata.org/entity/Q547078,http://www.wikidata.org/entity/Q1189404,1
http://www.wikidata.org/entity/Q547078,http://www.wikidata.org/entity/Q15998045,1
http://www.wikidata.org/entity/Q547078,http://www.wikidata.org/entity/Q3483316,1
http://www.wikidata.org/entity/Q51123,http://www.wikidata.org/entity/Q1189404,1
http://www.wikidata.org/entity/Q51123,http://www.wikidata.org/entity/Q15998045,1
